user_id,age,gender,occupation,photoPath,timestamp,description,starRating,mealType,placeType,mealTypeOther,social_howmany,social_who,social_who_other,timestamp_eaten,DateTime,DayOfWeek
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1384391939.585026_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1384391940,perrier!,5,beverage,other,,1-3,other,,1384391880,Nov-14-2013 01:18:00,Thursday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1384541326.576466_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1384541327,coconut pouchong tea,3,beverage,work,,0,,,1384541280,Nov-15-2013 18:48:00,Friday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1384556480.181637_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1384556480,"@makerhaus\
\
coconut pouchong tea",3,beverage,work,,0,,,1384556460,Nov-15-2013 23:01:00,Friday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1384808167.512890_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1384808168,choconut pouchong tea from the Perennial Tea Room,4,beverage,work,,0,,,1384808160,Nov-18-2013 20:56:00,Monday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1384883254.834759_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1384883255,@makerhaus,3,beverage,work,,0,,,1384883220,Nov-19-2013 17:47:00,Tuesday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1385415727.571899_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1385415728,"@makerhaus\
",3,beverage,work,,0,,,1385415720,Nov-25-2013 21:42:00,Monday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1385485869.412201_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1385485869,@makerhaus,3,beverage,work,,0,other,,1385485860,Nov-26-2013 17:11:00,Tuesday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1386088690.598667_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1386088691,"@makerhaus\
Napa blanc San Francisco tea -- green tea with white wine and muscat flavoring\
",5,beverage,work,,0,,,1386088620,Dec-03-2013 16:37:00,Tuesday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1386269366.142782_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1386269366,@makerhaus,4,beverage,work,,0,,,1386269340,Dec-05-2013 18:49:00,Thursday
15,24,Male,Web Design/Development,www.mydecaf.org/foodPhotos/foodPhotos_class/foodPhoto_1386368162.377572_39d8db538ff78aebdc8a814d8f6ad5567c64deebc962d766820a3c36d58fdb4d.jpeg,1386368162,winter hook -- red hook beer,1,beverage,work,,4-6,coworkers,,1386368040,Dec-06-2013 22:14:00,Friday
